COUNTY,MULTIPLE
Orange,3.309621454100987
Pasquotank,3.307826643465051
Chatham,3.134338146302002
Watauga,2.7819769381525354
Richmond,2.7595599108774165
Wilson,2.491408060481579
New Hanover,2.164335273116075
Stanly,2.105457144651584
Lee,2.056302278784037
Surry,1.9289777238056107
Person,1.8973799656710353
Rutherford,1.8659132139795693
Granville,1.8650730843824366
Pitt,1.8517126325858402
Alamance,1.8266508300405666
Union,1.7965900107753643
Hoke,1.7601334548885608
Mecklenburg,1.743494418350589
Durham,1.59989222430881
Catawba,1.5981665679665824
Caldwell,1.5731679222607062
Jackson,1.5505662060246275
Rockingham,1.4625712658660763
Forsyth,1.438347602332165
Franklin,1.428727659403726
Cumberland,1.4070907501948677
Lenoir,1.4026972289814768
Guilford,1.335690943044959
Davidson,1.2811655236556245
Gaston,1.2776853231331329
Anson,1.2407503994015072
Wake,1.228381297158287
Nash,1.1885286474254837
Cabarrus,1.1803527341094069
Rowan,1.1754644462068595
Burke,1.169373071127768
Caswell,1.1438361386163276
Beaufort,1.1206612331901697
Robeson,1.0837477187145212
McDowell,1.0813313128145645
Johnston,1.0371193824553473
Henderson,1.0295518711949019
Lincoln,0.9923454540207627
Jones,0.9306452483418545
Bladen,0.9299518346267011
Onslow,0.8993725348579105
Clay,0.8679781635201813
Buncombe,0.8644906793436931
Polk,0.8370505408985133
Harnett,0.813003206687524
Randolph,0.8087477323102761
Chowan,0.7677182749767829
Cherokee,0.7570124002397564
Iredell,0.7551399228627944
Macon,0.7385400740023044
Davie,0.7371583105978305
Scotland,0.6693116665771569
Wayne,0.6685141152341151
Haywood,0.6551932486534628
Martin,0.6232490224739715
Brunswick,0.6071765978045836
Pender,0.5841995014312482
Edgecombe,0.5839548600868778
Duplin,0.5697896228666589
Bertie,0.5403486995304554
Vance,0.5333714145299174
Dare,0.5315997961908682
Cleveland,0.5232841358630249
Craven,0.5161436968786443
Carteret,0.5123660828646978
Madison,0.4814878931177721
Ashe,0.48057686866875354
Moore,0.4235829398941347
Stokes,0.4114553559639956
Columbus,0.35950815646022116
Mitchell,0.34350617083884627
Perquimans,0.3325827917705442
Montgomery,0.3291662047249965
Avery,0.3045489365396634
Halifax,0.2872925381049552
Wilkes,0.2871310637373566
Hertford,0.2515530000941644
Gates,0.24973177659610196
Yadkin,0.23906270819682549
Northampton,0.18631807125252817
Transylvania,0.15397052667625455
Sampson,0.12935879632699607
Alexander,0.1291450363922035
Warren,0.1207456723723578
Swain,0.0
Camden,0.0
Hyde,0.0
Greene,0.0
Pamlico,0.0
Yancey,0.0
Currituck,0.0
Alleghany,0.0
